Date,Close
06/10/2020,246.09
06/10/2021,340.17
06/10/2022,288.69
06/10/2024,464.83
06/10/2025,534.21
06/11/2020,233.9
06/11/2021,341.06
06/11/2024,468.02
06/11/2025,532.41
06/12/2020,235.76
06/12/2023,360.3
06/12/2024,474.15
06/12/2025,533.66
06/13/2022,275.27
06/13/2023,363.07
06/13/2024,476.72
06/13/2025,526.96
06/14/2021,344.33
06/14/2022,275.77
06/14/2023,365.71
06/14/2024,479.19
06/15/2020,238.62
06/15/2021,342.08
06/15/2022,282.65
06/15/2023,370.07
06/16/2020,242.72
06/16/2021,340.83
06/16/2022,271.25
06/16/2023,367.74
06/16/2025,534.29
06/17/2020,243.49
06/17/2021,345.16
06/17/2022,274.55
06/17/2024,485.06
06/17/2025,529.08
06/18/2020,244.15
06/18/2021,342.45
06/18/2024,485.21
06/18/2025,528.99
06/19/2020,244.11
06/20/2023,366.71
06/20/2024,481.47
06/20/2025,526.83
06/21/2021,344.18
06/21/2022,280.93
06/21/2023,361.71
06/21/2024,480.18
06/22/2020,246.61
06/22/2021,347.39
06/22/2022,280.52
06/22/2023,365.98
06/23/2020,248.71
06/23/2021,347.56
06/23/2022,284.7
06/23/2023,362.35
06/23/2025,531.65
06/24/2020,243.58
06/24/2021,349.71
06/24/2022,294.46
06/24/2024,473.96
06/24/2025,539.78
06/25/2020,245.9
06/25/2021,349.28
06/25/2024,479.38
06/25/2025,541.16
06/26/2020,240.09
06/26/2023,357.49
06/26/2024,480.37
06/26/2025,546.22
06/27/2022,292.3
06/27/2023,363.64
06/27/2024,481.61
06/27/2025,548.09
06/28/2021,353.52
06/28/2022,283.39
06/28/2023,364.35
06/28/2024,479.11
06/29/2020,242.71
06/29/2021,354.8
06/29/2022,283.65
06/29/2023,363.62
06/30/2020,247.47
06/30/2021,354.24
06/30/2022,280.13
06/30/2023,369.23
06/30/2025,551.64
07/01/2020,250.36
07/01/2021,354.38
07/01/2022,281.98
07/01/2024,481.92
07/01/2025,546.99
07/02/2020,252.06
07/02/2021,358.45
07/02/2024,486.98
07/02/2025,550.8
07/03/2023,370.1
07/03/2024,491.04
07/03/2025,556.22
07/05/2022,286.81
07/05/2023,370.09
07/05/2024,496.16
07/06/2020,258.25
07/06/2021,360.0
07/06/2022,288.65
07/06/2023,367.27
07/07/2020,256.48
07/07/2021,360.76
07/07/2022,294.83
07/07/2023,366.05
07/07/2025,552.03
07/08/2020,259.85
07/08/2021,358.58
07/08/2022,295.19
07/08/2024,497.34
07/08/2025,552.34
07/09/2020,262.04
07/09/2021,360.82
07/09/2024,497.77
07/09/2025,556.25
07/10/2020,263.83
07/10/2023,366.17
07/10/2024,502.96
07/10/2025,555.45
07/11/2022,288.89
07/11/2023,367.98
07/11/2024,491.93
07/11/2025,554.2
07/12/2021,362.23
07/12/2022,286.09
07/12/2023,372.62
07/12/2024,494.82
07/13/2020,258.4
07/13/2021,362.23
07/13/2022,285.5
07/13/2023,378.95
07/14/2020,260.23
07/14/2021,362.88
07/14/2022,286.52
07/14/2023,378.87
07/14/2025,556.21
07/15/2020,260.76
07/15/2021,360.33
07/15/2022,291.72
07/15/2024,496.15
07/15/2025,556.72
07/16/2020,258.98
07/16/2021,357.41
07/16/2024,496.34
07/16/2025,557.29
07/17/2020,259.28
07/17/2023,382.41
07/17/2024,481.77
07/17/2025,561.8
07/18/2022,289.25
07/18/2023,385.54
07/18/2024,479.49
07/18/2025,561.26
07/19/2021,354.48
07/19/2022,298.14
07/19/2023,385.45
07/19/2024,475.24
07/20/2020,266.64
07/20/2021,358.6
07/20/2022,302.87
07/20/2023,376.56
07/21/2020,263.86
07/21/2021,361.37
07/21/2022,307.22
07/21/2023,375.43
07/21/2025,564.17
07/22/2020,264.79
07/22/2021,363.76
07/22/2022,301.83
07/22/2024,482.32
07/22/2025,561.25
07/23/2020,257.87
07/23/2021,368.01
07/23/2024,480.62
07/23/2025,563.81
07/24/2020,255.43
07/24/2023,376.03
07/24/2024,463.38
07/24/2025,565.01
07/25/2022,300.11
07/25/2023,378.58
07/25/2024,458.27
07/25/2025,566.37
07/26/2021,368.3
07/26/2022,294.22
07/26/2023,377.32
07/26/2024,462.97
07/27/2020,259.98
07/27/2021,364.24
07/27/2022,306.65
07/27/2023,376.42
07/28/2020,256.68
07/28/2021,365.64
07/28/2022,309.65
07/28/2023,383.28
07/28/2025,567.98
07/29/2020,259.63
07/29/2021,366.29
07/29/2022,315.29
07/29/2024,463.9
07/30/2019,193.68
07/30/2020,260.99
07/30/2021,364.38
07/30/2024,457.53
07/31/2019,191.0
07/31/2020,265.65
07/31/2023,383.48
07/31/2024,471.07
08/01/2019,190.05
08/01/2022,315.1
08/01/2023,382.59
08/01/2024,459.66
08/02/2019,187.25
08/02/2021,364.41
08/02/2022,314.16
08/02/2023,374.19
08/02/2024,448.75
08/03/2020,269.24
08/03/2021,366.62
08/03/2022,322.72
08/03/2023,373.59
08/04/2020,270.24
08/04/2021,367.15
08/04/2022,324.23
08/04/2023,371.84
08/05/2019,180.64
08/05/2020,270.91
08/05/2021,369.48
08/05/2022,321.58
08/05/2024,435.37
08/06/2019,183.16
08/06/2020,274.5
08/06/2021,367.86
08/06/2024,439.53
08/07/2019,184.15
08/07/2020,271.33
08/07/2023,374.99
08/07/2024,434.77
08/08/2019,188.16
08/08/2022,320.54
08/08/2023,371.8
08/08/2024,448.07
08/09/2019,186.39
08/09/2021,368.54
08/09/2022,316.91
08/09/2023,367.72
08/09/2024,450.41
08/10/2020,270.17
08/10/2021,366.65
08/10/2022,325.76
08/10/2023,368.4
08/11/2020,265.05
08/11/2021,366.02
08/11/2022,323.91
08/11/2023,366.05
08/12/2019,184.25
08/12/2020,271.72
08/12/2021,367.34
08/12/2022,330.22
08/12/2024,451.38
